Function, Size, Best case, Average Case, Worst Case
Insertion sort,100,0.000004,0.000015,0.000026
Merge sort,100,0.000016,0.000020,0.000013
Insertion sort,200,0.000002,0.000053,0.000094
Merge sort,200,0.000030,0.000025,0.000017
Insertion sort,300,0.000002,0.000073,0.000133
Merge sort,300,0.000028,0.000039,0.000027
Insertion sort,400,0.000003,0.000125,0.000234
Merge sort,400,0.000036,0.000054,0.000037
Insertion sort,500,0.000002,0.000194,0.000362
Merge sort,500,0.000047,0.000069,0.000045
Insertion sort,600,0.000003,0.000272,0.000520
Merge sort,600,0.000056,0.000084,0.000077
Insertion sort,700,0.000004,0.000348,0.000705
Merge sort,700,0.000065,0.000098,0.000065
Insertion sort,800,0.000004,0.000493,0.000918
Merge sort,800,0.000076,0.000115,0.000075
Insertion sort,900,0.000005,0.000591,0.001229
Merge sort,900,0.000085,0.000129,0.000085
Insertion sort,1000,0.000005,0.000944,0.001690
Merge sort,1000,0.000138,0.000146,0.000096
Insertion sort,2000,0.000008,0.002820,0.006097
Merge sort,2000,0.000205,0.000330,0.000200
Insertion sort,3000,0.000015,0.006979,0.013433
Merge sort,3000,0.000353,0.000534,0.000356
Insertion sort,4000,0.000019,0.012155,0.023245
Merge sort,4000,0.000460,0.000660,0.000423
Insertion sort,5000,0.000021,0.018145,0.035575
Merge sort,5000,0.000546,0.000843,0.000582
Insertion sort,6000,0.000025,0.025652,0.051163
Merge sort,6000,0.000666,0.001025,0.000656
Insertion sort,7000,0.000029,0.034630,0.069944
Merge sort,7000,0.000785,0.001205,0.000775
Insertion sort,8000,0.000033,0.045289,0.091197
Merge sort,8000,0.000909,0.001422,0.000913
Insertion sort,9000,0.000038,0.057767,0.117371
Merge sort,9000,0.001020,0.001589,0.001010
Insertion sort,10000,0.000041,0.071908,0.143435
Merge sort,10000,0.001190,0.001806,0.001145
Insertion sort,20000,0.000082,0.285099,0.580772
Merge sort,20000,0.002429,0.003853,0.002445
Insertion sort,30000,0.000123,0.639523,1.285990
Merge sort,30000,0.003976,0.005917,0.003657
Insertion sort,40000,0.000164,1.147057,2.287452
Merge sort,40000,0.005059,0.008087,0.005103
Insertion sort,50000,0.000204,1.789014,3.575583
Merge sort,50000,0.006467,0.010097,0.006325
Insertion sort,60000,0.000244,2.577727,5.135914
Merge sort,60000,0.007843,0.012554,0.007771
Insertion sort,70000,0.000285,3.513253,6.998604
Merge sort,70000,0.009186,0.014579,0.009134
Insertion sort,80000,0.000326,4.590225,9.147229
Merge sort,80000,0.010596,0.016746,0.010501
Insertion sort,90000,0.000367,5.786160,11.634269
Merge sort,90000,0.011943,0.018958,0.011962
Insertion sort,100000,0.000408,7.200933,14.397832
Merge sort,100000,0.013313,0.021342,0.013276
