N,BruteFroce,DivideConquer
100,0.001283,7.3e-05
200,0.005482,0.000141
300,0.017094,0.000231
400,0.036724,0.00035
500,0.066556,0.000406
600,0.109498,0.000491
700,0.168606,0.000568
800,0.245494,0.000696
900,0.341722,0.000753
1000,0.463688,0.00079
1100,0.610174,0.00097
1200,0.781317,0.001038
1300,0.976896,0.001169
1400,1.20857,0.001278
1500,1.47583,0.0014
1600,1.7767,0.001448
1700,2.11146,0.001614
1800,2.5092,0.001755
1900,2.95063,0.001852
2000,3.45415,0.002059
2100,3.94872,0.002033
2200,4.52708,0.002288
2300,5.14401,0.00229
2400,5.85087,0.002526
2500,6.60213,0.00255
2600,7.35943,0.002839
2700,8.26469,0.002826
2800,9.1303,0.003136
2900,10.0974,0.003201
3000,11.198,0.003734
3100,12.3148,0.00343
3200,13.5866,0.003792
3300,14.8662,0.003762
3400,16.2063,0.004247
3500,17.788,0.004138
3600,19.355,0.004645
3700,20.7545,0.004678
3800,22.683,0.005232
3900,24.9386,0.00542
4000,27.1446,0.00624
4100,28.9318,0.005537
4200,31.0926,0.006623
4300,33.3533,0.006894
4400,35.9067,0.007695
4500,38.4419,0.007748
4600,40.936,0.008379
4700,43.4289,0.008415
4800,46.2147,0.009439
4900,49.148,0.009221
5000,52.4164,0.01073
5100,55.921,0.010007
5200,58.9667,0.010545
5300,62.6664,0.01064
5400,66.8808,0.011379
5500,70.0353,0.011924
5600,73.4636,0.012959
5700,77.3577,0.012704
5800,81.1511,0.013483
5900,86.3031,0.013579
6000,90.365,0.014418
6100,95.1613,0.0161
6200,100.341,0.014929
6300,104.839,0.014953
6400,108.989,0.016072
6500,115.077,0.015872
6600,120.138,0.01788
6700,125.715,0.017746
6800,132.125,0.018676
6900,137.787,0.01861
7000,143.673,0.020357
7100,149.795,0.021615
7200,155.618,0.020702
7300,162.126,0.020667
7400,169.549,0.022122
7500,176.094,0.021933
7600,183.313,0.022884
7700,189.465,0.023027
7800,198.397,0.024005
7900,204.75,0.023932
8000,212.636,0.025261
8100,222.955,0.026554
8200,229.792,0.027409
8300,237.407,0.026467
8400,245.873,0.028872
8500,255.503,0.031316
8600,262.991,0.03347
8700,273.895,0.033445
8800,282.099,0.035924
8900,292.583,0.035649
9000,301.425,0.038643
9100,311.693,0.039016
9200,322.675,0.042301
9300,332.52,0.040655
9400,346.092,0.044821
9500,358.46,0.044489
9600,366.989,0.047523
9700,377.829,0.046672
9800,392.811,0.050721
9900,404.31,0.050287
10000,416.292,0.053554
