N,HeapSort
100,3.8e-05
200,8.8e-05
300,0.000118
400,0.00014
500,0.000178
600,0.00022
700,0.000264
800,0.000338
900,0.000351
1000,0.000408
1100,0.000437
1200,0.000478
1300,0.000501
1400,0.000519
1500,0.000577
1600,0.000648
1700,0.000646
1800,0.000687
1900,0.000985
2000,0.000889
2100,0.001383
2200,0.000949
2300,0.001046
2400,0.000946
2500,0.000992
2600,0.0011
2700,0.001134
2800,0.001126
2900,0.0012
3000,0.001279
3100,0.001304
3200,0.001361
3300,0.001618
3400,0.002078
3500,0.001615
3600,0.001506
3700,0.001629
3800,0.001571
3900,0.001697
4000,0.00184
4100,0.001757
4200,0.002112
4300,0.002024
4400,0.001995
4500,0.002535
4600,0.002185
4700,0.002191
4800,0.002064
4900,0.002107
5000,0.00223
5100,0.002335
5200,0.002227
5300,0.002313
5400,0.002429
5500,0.00274
5600,0.003262
5700,0.002742
5800,0.002573
5900,0.002681
6000,0.004014
6100,0.002828
6200,0.002869
6300,0.002901
6400,0.003111
6500,0.003197
6600,0.002983
6700,0.003419
6800,0.003087
6900,0.003181
7000,0.003292
7100,0.003238
7200,0.003496
7300,0.003785
7400,0.003371
7500,0.003389
7600,0.003432
7700,0.003579
7800,0.003662
7900,0.003773
8000,0.00464
8100,0.003737
8200,0.003885
8300,0.003864
8400,0.003961
8500,0.003961
8600,0.004575
8700,0.004407
8800,0.004032
8900,0.004207
9000,0.004144
9100,0.004201
9200,0.005164
9300,0.004694
9400,0.004484
9500,0.004554
9600,0.004517
9700,0.004604
9800,0.005569
9900,0.004642
10000,0.004727
10100,0.00486
10200,0.004834
10300,0.005964
10400,0.004887
10500,0.004906
10600,0.005033
10700,0.004981
10800,0.006015
10900,0.005254
11000,0.005184
11100,0.005312
11200,0.005445
11300,0.006038
11400,0.005466
11500,0.005421
11600,0.005499
11700,0.014885
11800,0.006147
11900,0.006121
12000,0.00582
12100,0.006678
12200,0.005849
12300,0.005925
12400,0.005996
12500,0.007376
12600,0.006077
12700,0.00609
12800,0.006108
12900,0.007627
13000,0.006401
13100,0.006422
13200,0.006418
13300,0.007674
13400,0.006526
13500,0.006582
13600,0.006545
13700,0.008
13800,0.006642
13900,0.006778
14000,0.006735
14100,0.007744
14200,0.006938
14300,0.006979
14400,0.007808
14500,0.007119
14600,0.007057
14700,0.007154
14800,0.007987
14900,0.007305
15000,0.007249
15100,0.008702
15200,0.007496
15300,0.007472
15400,0.007842
15500,0.00792
15600,0.007699
15700,0.007606
15800,0.00879
15900,0.008103
16000,0.007766
16100,0.009269
16200,0.007973
16300,0.008086
16400,0.009515
16500,0.008097
16600,0.008195
16700,0.008909
16800,0.00844
16900,0.008281
17000,0.008713
17100,0.008967
17200,0.008403
17300,0.008935
17400,0.008838
17500,0.008691
17600,0.009577
17700,0.009118
17800,0.00876
17900,0.009799
18000,0.008931
18100,0.009116
18200,0.009879
18300,0.009078
18400,0.009163
18500,0.010557
18600,0.009221
18700,0.009492
18800,0.010004
18900,0.009325
19000,0.010231
19100,0.009597
19200,0.00958
19300,0.010508
19400,0.00969
19500,0.009805
19600,0.010805
19700,0.009932
19800,0.010819
19900,0.010006
20000,0.010038
20100,0.010863
20200,0.01019
20300,0.011194
20400,0.010289
20500,0.011172
20600,0.010418
20700,0.010566
20800,0.011452
20900,0.010497
21000,0.011779
21100,0.010633
21200,0.010862
21300,0.011535
21400,0.010914
21500,0.012219
21600,0.01108
21700,0.012041
21800,0.010977
21900,0.012118
22000,0.011218
22100,0.011291
22200,0.012693
22300,0.011486
22400,0.0132
22500,0.011401
22600,0.012915
22700,0.011604
22800,0.012759
22900,0.011692
23000,0.011713
23100,0.01295
23200,0.011851
23300,0.013234
23400,0.01199
23500,0.012993
23600,0.012137
23700,0.013258
23800,0.012117
23900,0.013219
24000,0.012269
24100,0.013449
24200,0.012514
24300,0.013303
24400,0.012571
24500,0.012933
24600,0.012646
24700,0.013402
24800,0.012781
24900,0.013633
25000,0.012897
25100,0.013719
25200,0.012968
25300,0.013554
25400,0.013125
25500,0.013426
25600,0.013287
25700,0.013845
25800,0.013385
25900,0.014174
26000,0.013626
26100,0.014566
26200,0.013661
26300,0.015936
26400,0.013676
26500,0.01517
26600,0.013776
26700,0.014856
26800,0.014041
26900,0.014956
27000,0.014459
27100,0.014267
27200,0.015087
27300,0.01444
27400,0.015391
27500,0.014418
27600,0.015588
27700,0.014337
27800,0.015327
27900,0.021363
28000,0.023258
28100,0.021241
28200,0.015932
28300,0.015065
28400,0.014937
28500,0.015894
28600,0.014935
28700,0.015897
28800,0.01503
28900,0.015999
29000,0.015909
29100,0.016046
29200,0.01517
29300,0.016284
29400,0.015276
29500,0.016441
29600,0.015625
29700,0.015879
29800,0.016694
29900,0.015821
30000,0.017099
30100,0.016572
30200,0.01582
30300,0.017216
30400,0.015878
30500,0.016658
30600,0.017419
30700,0.016
30800,0.017616
30900,0.017534
31000,0.016349
31100,0.017757
31200,0.016605
31300,0.016735
31400,0.017518
31500,0.016619
31600,0.017438
31700,0.017494
31800,0.016618
31900,0.018008
32000,0.017687
32100,0.016978
32200,0.018062
32300,0.018102
32400,0.017142
32500,0.018289
32600,0.019965
32700,0.017206
32800,0.018343
32900,0.018658
33000,0.019277
33100,0.018565
33200,0.018809
33300,0.018582
33400,0.017941
33500,0.019028
33600,0.018756
33700,0.017875
33800,0.018805
33900,0.018976
34000,0.017948
34100,0.019053
34200,0.019696
34300,0.019558
34400,0.018333
34500,0.019094
34600,0.019634
34700,0.018336
34800,0.019191
34900,0.019812
35000,0.019747
35100,0.018674
35200,0.020096
35300,0.020158
35400,0.019153
35500,0.01894
35600,0.019864
35700,0.020042
35800,0.019048
35900,0.019582
36000,0.020278
36100,0.020441
36200,0.019357
